도로명코드,도로명,읍면동일련번호,시도명,아이디,입력일자
111102005001,세종대로,0,서울특별시,ssongda9412,20200316180203
111102005001,세종대로,1,서울특별시,ssongda9412,20200316180203
111102005001,세종대로,2,서울특별시,ssongda9412,20200316180203
111102100001,삼일대로,0,서울특별시,ssongda9412,20200316180203
111102100001,삼일대로,1,서울특별시,ssongda9412,20200316180203
111102100001,삼일대로,2,서울특별시,ssongda9412,20200316180203
111102100001,삼일대로,3,서울특별시,ssongda9412,20200316180203
111102100001,삼일대로,4,서울특별시,ssongda9412,20200316180203
111102100001,삼일대로,5,서울특별시,ssongda9412,20200316180203
111102100001,삼일대로,6,서울특별시,ssongda9412,20200316180203
111102100002,필운대로,0,서울특별시,ssongda9412,20200316180203
111102100002,필운대로,1,서울특별시,ssongda9412,20200316180203
111102100002,필운대로,2,서울특별시,ssongda9412,20200316180203
111102100002,필운대로,3,서울특별시,ssongda9412,20200316180203
111102100002,필운대로,4,서울특별시,ssongda9412,20200316180203
111102100002,필운대로,5,서울특별시,ssongda9412,20200316180203
111103000008,통일로,0,서울특별시,ssongda9412,20200316180203
111103000008,통일로,1,서울특별시,ssongda9412,20200316180203
111103000008,통일로,2,서울특별시,ssongda9412,20200316180203
111103000008,통일로,3,서울특별시,ssongda9412,20200316180203
111103000008,통일로,4,서울특별시,ssongda9412,20200316180203
111103000008,통일로,5,서울특별시,ssongda9412,20200316180203
111103000008,통일로,6,서울특별시,ssongda9412,20200316180203
111103005001,동호로,0,서울특별시,ssongda9412,20200316180203
111103005001,동호로,1,서울특별시,ssongda9412,20200316180203
111103005002,무교로,0,서울특별시,ssongda9412,20200316180203
111103005002,무교로,1,서울특별시,ssongda9412,20200316180203
111103005003,보문로,0,서울특별시,ssongda9412,20200316180203
111103005003,보문로,1,서울특별시,ssongda9412,20200316180203
111103005004,새문안로,0,서울특별시,ssongda9412,20200316180203
111103005004,새문안로,1,서울특별시,ssongda9412,20200316180203
111103005004,새문안로,2,서울특별시,ssongda9412,20200316180203
111103005004,새문안로,3,서울특별시,ssongda9412,20200316180203
111103005004,새문안로,4,서울특별시,ssongda9412,20200316180203
111103005004,새문안로,5,서울특별시,ssongda9412,20200316180203
111103005005,세검정로,0,서울특별시,ssongda9412,20200316180203
111103005005,세검정로,1,서울특별시,ssongda9412,20200316180203
111103005005,세검정로,2,서울특별시,ssongda9412,20200316180203
111103005005,세검정로,3,서울특별시,ssongda9412,20200316180203
111103005006,수표로,0,서울특별시,ssongda9412,20200316180203
111103005006,수표로,1,서울특별시,ssongda9412,20200316180203
111103005006,수표로,2,서울특별시,ssongda9412,20200316180203
111103005006,수표로,3,서울특별시,ssongda9412,20200316180203
111103005006,수표로,4,서울특별시,ssongda9412,20200316180203
111103005007,지봉로,0,서울특별시,ssongda9412,20200316180203
111103005007,지봉로,1,서울특별시,ssongda9412,20200316180203
111103005007,지봉로,2,서울특별시,ssongda9412,20200316180203
111103005008,창경궁로,0,서울특별시,ssongda9412,20200316180203
111103005008,창경궁로,1,서울특별시,ssongda9412,20200316180203
111103005008,창경궁로,2,서울특별시,ssongda9412,20200316180203
111103005008,창경궁로,3,서울특별시,ssongda9412,20200316180203
111103005008,창경궁로,4,서울특별시,ssongda9412,20200316180203
111103005008,창경궁로,5,서울특별시,ssongda9412,20200316180203
111103005008,창경궁로,6,서울특별시,ssongda9412,20200316180203
111103005008,창경궁로,7,서울특별시,ssongda9412,20200316180203
111103005008,창경궁로,8,서울특별시,ssongda9412,20200316180203
111103005008,창경궁로,9,서울특별시,ssongda9412,20200316180203
111103005008,창경궁로,10,서울특별시,ssongda9412,20200316180203
111103100001,김상옥로,0,서울특별시,ssongda9412,20200316180203
111103100001,김상옥로,1,서울특별시,ssongda9412,20200316180203
111103100001,김상옥로,2,서울특별시,ssongda9412,20200316180203
111103100001,김상옥로,3,서울특별시,ssongda9412,20200316180203
111103100001,김상옥로,4,서울특별시,ssongda9412,20200316180203
111103100001,김상옥로,5,서울특별시,ssongda9412,20200316180203
111103100002,대학로,0,서울특별시,ssongda9412,20200316180203
111103100002,대학로,1,서울특별시,ssongda9412,20200316180203
111103100002,대학로,2,서울특별시,ssongda9412,20200316180203
111103100002,대학로,3,서울특별시,ssongda9412,20200316180203
111103100002,대학로,4,서울특별시,ssongda9412,20200316180203
111103100002,대학로,5,서울특별시,ssongda9412,20200316180203
111103100002,대학로,6,서울특별시,ssongda9412,20200316180203
111103100002,대학로,7,서울특별시,ssongda9412,20200316180203
111103100002,대학로,8,서울특별시,ssongda9412,20200316180203
111103100003,돈화문로,0,서울특별시,ssongda9412,20200316180203
111103100003,돈화문로,1,서울특별시,ssongda9412,20200316180203
111103100003,돈화문로,2,서울특별시,ssongda9412,20200316180203
111103100003,돈화문로,3,서울특별시,ssongda9412,20200316180203
111103100003,돈화문로,4,서울특별시,ssongda9412,20200316180203
111103100003,돈화문로,5,서울특별시,ssongda9412,20200316180203
111103100004,북촌로,0,서울특별시,ssongda9412,20200316180203
111103100004,북촌로,1,서울특별시,ssongda9412,20200316180203
111103100004,북촌로,2,서울특별시,ssongda9412,20200316180203
111103100004,북촌로,3,서울특별시,ssongda9412,20200316180203
111103100004,북촌로,4,서울특별시,ssongda9412,20200316180203
111103100004,북촌로,5,서울특별시,ssongda9412,20200316180203
111103100005,사직로,0,서울특별시,ssongda9412,20200316180203
111103100005,사직로,1,서울특별시,ssongda9412,20200316180203
111103100005,사직로,2,서울특별시,ssongda9412,20200316180203
111103100005,사직로,3,서울특별시,ssongda9412,20200316180203
111103100005,사직로,4,서울특별시,ssongda9412,20200316180203
111103100005,사직로,5,서울특별시,ssongda9412,20200316180203
111103100005,사직로,6,서울특별시,ssongda9412,20200316180203
111103100005,사직로,7,서울특별시,ssongda9412,20200316180203
111103100006,삼봉로,0,서울특별시,ssongda9412,20200316180203
111103100006,삼봉로,1,서울특별시,ssongda9412,20200316180203
111103100006,삼봉로,2,서울특별시,ssongda9412,20200316180203
111103100006,삼봉로,3,서울특별시,ssongda9412,20200316180203
111103100006,삼봉로,4,서울특별시,ssongda9412,20200316180203
111103100007,삼청로,0,서울특별시,ssongda9412,20200316180203
111103100007,삼청로,1,서울특별시,ssongda9412,20200316180203
111103100007,삼청로,2,서울특별시,ssongda9412,20200316180203
111103100007,삼청로,3,서울특별시,ssongda9412,20200316180203
111103100007,삼청로,4,서울특별시,ssongda9412,20200316180203
111103100007,삼청로,5,서울특별시,ssongda9412,20200316180203
111103100007,삼청로,6,서울특별시,ssongda9412,20200316180203
111103100008,성균관로,0,서울특별시,ssongda9412,20200316180203
111103100008,성균관로,1,서울특별시,ssongda9412,20200316180203
111103100008,성균관로,2,서울특별시,ssongda9412,20200316180203
111103100008,성균관로,3,서울특별시,ssongda9412,20200316180203
111103100008,성균관로,4,서울특별시,ssongda9412,20200316180203
111103100008,성균관로,5,서울특별시,ssongda9412,20200316180203
111103100009,우정국로,0,서울특별시,ssongda9412,20200316180203
111103100009,우정국로,1,서울특별시,ssongda9412,20200316180203
111103100009,우정국로,2,서울특별시,ssongda9412,20200316180203
111103100009,우정국로,3,서울특별시,ssongda9412,20200316180203
111103100009,우정국로,4,서울특별시,ssongda9412,20200316180203
